Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Adyar Depot,J0837,TN01AN1629,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Adyar Depot,J0836,TN01AN1689,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Adyar Depot,J0394,TN01AN0855,Ashok Leyland,BS-4,MTC,No,Ordinary,16-06-2014,Active
Adyar Depot,J0397,TN01AN0860,Ashok Leyland,BS-4,MTC,No,Ordinary,16-06-2014,Active
Adyar Depot,J1196,TN01AN2126,Ashok Leyland,BS-4,MTC,No,Ordinary,22-04-2019,Active
Adyar Depot,J1197,TN01AN2125,Ashok Leyland,BS-4,MTC,No,Ordinary,22-04-2019,Active
Adyar Depot,J1227,TN01AN2260,Ashok Leyland,BS-4,MTC,No,Ordinary,06-05-2019,Active
Adyar Depot,J1320,TN01AN2756,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Adyar Depot,J0994,TN01AN1873,Ashok Leyland,BS-4,MTC,No,Ordinary,03-01-2019,Active
Adyar Depot,J1007,TN01AN1937,Ashok Leyland,BS-4,MTC,No,Ordinary,14-04-2019,Active
Adyar Depot,J1553,TN01AN3124,Ashok Leyland,BS-4,MTC,No,Ordinary,12-08-2019,Active
Adyar Depot,J1541,TN01AN2921,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Adyar Depot,J1528,TN01AN2898,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Adyar Depot,J1527,TN01AN2908,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Adyar Depot,J1519,TN01AN2914,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Adyar Depot,J1498,TN01AN2742,Ashok Leyland,BS-4,MTC,No,Ordinary,02-07-2019,Active
Adyar Depot,J1490,TN01AN2830,Ashok Leyland,BS-4,MTC,No,Ordinary,02-07-2019,Active
Adyar Depot,J1024,TN01AN2534,Ashok Leyland,BS-4,MTC,No,Ordinary,24-06-2019,Active
Adyar Depot,J1277,TN01AN2595,Ashok Leyland,BS-4,MTC,No,Ordinary,23-06-2019,Active
Adyar Depot,J1316,TN01AN2541,Ashok Leyland,BS-4,MTC,No,Ordinary,24-06-2019,Active
Adyar Depot,J0793,TN01AN1548,Ashok Leyland,BS-4,MTC,No,Ordinary,16-05-2016,Active
Adyar Depot,J0794,TN01AN1549,Ashok Leyland,BS-4,MTC,No,Ordinary,16-05-2016,Active
Adyar Depot,J0800,TN01AN1569,Ashok Leyland,BS-4,MTC,No,Ordinary,16-05-2016,Active
Adyar Depot,J0900,TN01AN1698,Ashok Leyland,BS-4,MTC,No,Ordinary,20-09-2016,Active
Adyar Depot,J1272,TN01AN2478,Ashok Leyland,BS-4,MTC,No,Ordinary,19-06-2019,Active
Adyar Depot,J1317,TN01AN2610,Ashok Leyland,BS-4,MTC,No,Ordinary,24-06-2019,Active
Adyar Depot,J1411,TN01AN2640,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Adyar Depot,J1530,TN01AN2855,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Madhavaram Depot,J1474,TN01AN2657,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Madhavaram Depot,J1449,TN01AN2755,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Madhavaram Depot,J0334,TN01AN0759,Tata,BS-4,MTC,No,Express,18-02-2014,Active
Ayanavaram Depot,J1297,TN01AN2521,Ashok Leyland,BS-4,MTC,No,Deluxe,19-06-2019,Active
Annanagar Depot,J1994,TN01AN3796,Ashok Leyland,BS-4,MTC,No,Deluxe,13-03-2020,Active
Annanagar Depot,J1861,TN01AN3546,Ashok Leyland,BS-4,MTC,No,Deluxe,23-02-2020,Active
Annanagar Depot,J0785,TN01AN1517,Ashok Leyland,BS-4,MTC,No,Express,01-05-2016,Active
Thiruvanmiyur Depot,J1307,TN01AN2586,Ashok Leyland,BS-4,MTC,No,Ordinary,23-06-2019,Active
